order_id,branch_id,customer_id,order_date,payment_method
1,100,1,2/16/2021,Debit Card
2,100,1,2/16/2021,Cash
3,100,1,2/16/2021,Cash
4,100,2,2/16/2021,Debit Card
5,100,2,2/16/2021,Debit Card
6,100,2,2/16/2021,Cash
7,100,3,2/16/2021,Cash
8,100,3,2/16/2021,Debit Card
9,100,3,2/16/2021,Cash
10,100,4,2/17/2021,Debit Card
11,100,4,2/17/2021,Debit Card
12,100,4,2/17/2021,Debit Card
13,100,4,2/17/2021,Debit Card
14,100,5,2/17/2021,Debit Card
15,100,5,2/17/2021,Debit Card
16,100,5,2/17/2021,Debit Card
17,100,6,2/17/2021,Debit Card
18,100,6,2/17/2021,Cash
19,100,6,2/17/2021,Debit Card
20,100,7,2/18/2021,Cash
21,100,7,2/18/2021,Cash
22,100,7,2/18/2021,Debit Card
23,100,7,2/18/2021,Cash
24,100,8,2/20/2021,Debit Card
25,100,8,2/20/2021,Cash
26,100,8,2/20/2021,Cash
27,100,9,2/22/2021,Debit Card
28,100,9,2/22/2021,Debit Card
29,100,9,2/22/2021,Debit Card
30,100,10,2/22/2021,Debit Card
31,100,10,2/22/2021,Cash
32,100,10,2/22/2021,Cash
33,100,10,2/22/2021,Cash
34,100,11,2/25/2021,Cash
35,100,11,2/25/2021,Debit Card
36,100,11,2/25/2021,Cash
37,100,12,2/25/2021,Debit Card
38,100,12,2/25/2021,Debit Card
39,100,12,2/25/2021,Debit Card
40,100,13,3/3/2021,Cash
41,100,13,3/3/2021,Debit Card
42,100,13,3/3/2021,Debit Card
43,100,13,3/3/2021,Cash
44,100,14,3/5/2021,Debit Card
45,100,14,3/5/2021,Cash
46,100,14,3/5/2021,Cash
47,100,15,3/6/2021,Cash
48,100,15,3/6/2021,Cash
49,100,15,3/6/2021,Cash
50,100,16,3/6/2021,Debit Card
51,100,16,3/6/2021,Debit Card
52,100,16,3/6/2021,Cash
53,100,16,3/6/2021,Cash
54,100,17,3/6/2021,Debit Card
55,100,17,3/6/2021,Cash
56,100,17,3/6/2021,Cash
57,100,18,3/6/2021,Debit Card
58,100,18,3/6/2021,Cash
59,100,18,3/6/2021,Cash
60,100,19,3/8/2021,Cash
61,100,19,3/8/2021,Cash
62,100,19,3/8/2021,Debit Card
63,100,19,3/8/2021,Debit Card
64,100,20,3/8/2021,Debit Card
65,100,20,3/8/2021,Cash
66,100,20,3/8/2021,Cash
67,100,21,3/8/2021,Debit Card
68,100,21,3/8/2021,Debit Card
69,100,21,3/8/2021,Debit Card
70,100,22,3/9/2021,Cash
71,100,22,3/9/2021,Debit Card
72,100,22,3/9/2021,Cash
73,100,22,3/9/2021,Cash
74,100,23,3/10/2021,Debit Card
75,100,23,3/10/2021,Debit Card
76,100,23,3/10/2021,Debit Card
77,100,24,3/11/2021,Cash
78,100,24,3/11/2021,Debit Card
79,100,24,3/11/2021,Cash
80,100,25,3/12/2021,Cash
81,100,25,3/12/2021,Cash
82,100,25,3/12/2021,Cash
83,100,25,3/12/2021,Cash
84,100,26,3/14/2021,Debit Card
85,100,26,3/14/2021,Debit Card
86,100,26,3/14/2021,Cash
87,100,27,3/15/2021,Cash
88,100,27,3/15/2021,Cash
89,100,27,3/15/2021,Cash
90,100,28,3/15/2021,Cash
91,100,28,3/15/2021,Debit Card
92,100,28,3/15/2021,Debit Card
93,100,28,3/15/2021,Cash
94,100,29,3/15/2021,Cash
95,100,29,3/15/2021,Debit Card
96,100,29,3/15/2021,Debit Card
97,100,30,3/15/2021,Debit Card
98,100,30,3/15/2021,Cash
99,100,30,3/15/2021,Debit Card
100,100,31,3/16/2021,Debit Card
101,100,31,3/16/2021,Debit Card
102,100,31,3/16/2021,Cash
103,100,31,3/16/2021,Cash
104,100,32,3/18/2021,Debit Card
105,100,32,3/18/2021,Debit Card
106,100,32,3/18/2021,Cash
107,100,33,3/21/2021,Debit Card
108,100,33,3/21/2021,Debit Card
109,100,33,3/21/2021,Cash
110,100,34,3/21/2021,Cash
111,100,34,3/21/2021,Debit Card
112,100,34,3/21/2021,Cash
113,100,34,3/21/2021,Debit Card
114,100,35,3/22/2021,Cash
115,100,35,3/22/2021,Cash
116,100,35,3/22/2021,Debit Card
117,100,36,3/23/2021,Debit Card
118,100,36,3/23/2021,Debit Card
119,100,36,3/23/2021,Debit Card
120,100,37,3/23/2021,Debit Card
121,100,37,3/23/2021,Cash
122,100,37,3/23/2021,Cash
123,100,37,3/23/2021,Cash
124,100,38,3/23/2021,Cash
125,100,38,3/23/2021,Cash
126,100,38,3/23/2021,Debit Card
127,100,39,3/24/2021,Debit Card
128,100,39,3/24/2021,Debit Card
129,100,39,3/24/2021,Cash
130,100,40,3/25/2021,Cash
131,100,40,3/25/2021,Debit Card
132,100,40,3/25/2021,Cash
133,100,40,3/25/2021,Cash
134,100,41,3/25/2021,Cash
135,100,41,3/25/2021,Cash
136,100,41,3/25/2021,Cash
137,100,42,3/25/2021,Debit Card
138,100,42,3/25/2021,Cash
139,100,42,3/25/2021,Cash
140,100,43,3/26/2021,Cash
141,100,43,3/26/2021,Cash
142,100,43,3/26/2021,Cash
143,100,43,3/26/2021,Cash
144,100,44,3/30/2021,Cash
145,100,44,3/30/2021,Debit Card
146,100,44,3/30/2021,Cash
147,100,45,4/3/2021,Debit Card
148,100,45,4/3/2021,Cash
149,100,45,4/3/2021,Cash
150,100,46,4/5/2021,Debit Card
151,100,46,4/5/2021,Debit Card
152,100,46,4/5/2021,Debit Card
153,100,46,4/5/2021,Cash
154,100,47,4/5/2021,Debit Card
155,100,47,4/5/2021,Debit Card
156,100,47,4/5/2021,Debit Card
157,100,48,4/5/2021,Cash
158,100,48,4/5/2021,Debit Card
159,100,48,4/5/2021,Debit Card
160,100,49,4/7/2021,Cash
161,100,49,4/7/2021,Cash
162,100,49,4/7/2021,Cash
163,100,49,4/7/2021,Cash
164,100,50,4/9/2021,Cash
165,100,50,4/9/2021,Debit Card
166,100,50,4/9/2021,Cash
167,100,51,4/11/2021,Debit Card
168,100,51,4/11/2021,Debit Card
169,100,51,4/11/2021,Cash
170,100,52,4/11/2021,Debit Card
171,100,52,4/11/2021,Debit Card
172,100,52,4/11/2021,Debit Card
173,100,52,4/11/2021,Cash
174,100,53,4/11/2021,Cash
175,100,53,4/11/2021,Debit Card
176,100,53,4/11/2021,Debit Card
177,100,54,4/12/2021,Debit Card
178,100,54,4/12/2021,Debit Card
179,100,54,4/12/2021,Cash
180,100,55,4/12/2021,Debit Card
181,100,55,4/12/2021,Cash
182,100,55,4/12/2021,Debit Card
183,100,55,4/12/2021,Cash
184,100,56,4/13/2021,Debit Card
185,100,56,4/13/2021,Cash
186,100,56,4/13/2021,Cash
187,100,57,4/14/2021,Debit Card
188,100,57,4/14/2021,Debit Card
189,100,57,4/14/2021,Debit Card
190,100,58,4/14/2021,Debit Card
191,100,58,4/14/2021,Debit Card
192,100,58,4/14/2021,Cash
193,100,58,4/14/2021,Cash
194,100,59,4/14/2021,Debit Card
195,100,59,4/14/2021,Debit Card
196,100,59,4/14/2021,Cash
197,100,60,4/15/2021,Cash
198,100,60,4/15/2021,Debit Card
199,100,60,4/15/2021,Debit Card
200,100,61,4/18/2021,Debit Card
201,100,61,4/18/2021,Debit Card
202,100,61,4/18/2021,Cash
203,100,61,4/18/2021,Debit Card
204,100,62,4/18/2021,Cash
205,100,62,4/18/2021,Debit Card
206,100,62,4/18/2021,Debit Card
207,100,63,4/19/2021,Debit Card
208,100,63,4/19/2021,Cash
209,100,63,4/19/2021,Debit Card
210,100,64,4/21/2021,Cash
211,100,64,4/21/2021,Debit Card
212,100,64,4/21/2021,Debit Card
213,100,64,4/21/2021,Cash
214,100,65,4/24/2021,Debit Card
215,100,65,4/24/2021,Debit Card
216,100,65,4/24/2021,Cash
217,100,66,4/24/2021,Debit Card
218,100,66,4/24/2021,Cash
219,100,66,4/24/2021,Cash
220,100,67,4/24/2021,Debit Card
221,100,67,4/24/2021,Cash
222,100,67,4/24/2021,Debit Card
223,100,67,4/24/2021,Cash
224,100,68,4/27/2021,Cash
225,100,68,4/27/2021,Cash
226,100,68,4/27/2021,Cash
227,100,69,4/27/2021,Cash
228,100,69,4/27/2021,Cash
229,100,69,4/27/2021,Cash
230,100,70,4/28/2021,Debit Card
231,100,70,4/28/2021,Cash
232,100,70,4/28/2021,Debit Card
233,100,70,4/28/2021,Cash
234,100,71,4/28/2021,Cash
235,100,71,4/28/2021,Debit Card
236,100,71,4/28/2021,Cash
237,100,72,5/1/2021,Debit Card
238,100,72,5/1/2021,Debit Card
239,100,72,5/1/2021,Cash
240,100,73,5/2/2021,Cash
241,100,73,5/2/2021,Cash
242,100,73,5/2/2021,Cash
243,100,73,5/2/2021,Cash
244,100,74,5/5/2021,Cash
245,100,74,5/5/2021,Debit Card
246,100,74,5/5/2021,Debit Card
247,100,75,5/5/2021,Debit Card
248,100,75,5/5/2021,Cash
249,100,75,5/5/2021,Cash
250,100,76,5/6/2021,Cash
251,100,76,5/6/2021,Cash
252,100,76,5/6/2021,Cash
253,100,76,5/6/2021,Debit Card
254,100,77,5/6/2021,Debit Card
255,100,77,5/6/2021,Debit Card
256,100,77,5/6/2021,Debit Card
257,100,78,5/7/2021,Debit Card
258,100,78,5/7/2021,Debit Card
259,100,78,5/7/2021,Debit Card
260,100,79,5/7/2021,Cash
261,100,79,5/7/2021,Cash
262,100,79,5/7/2021,Debit Card
263,100,79,5/7/2021,Debit Card
264,100,80,5/16/2021,Cash
265,100,80,5/16/2021,Debit Card
266,100,80,5/16/2021,Debit Card
267,100,81,5/16/2021,Debit Card
268,100,81,5/16/2021,Cash
269,100,81,5/16/2021,Cash
270,100,82,5/17/2021,Debit Card
271,100,82,5/17/2021,Cash
272,100,82,5/17/2021,Cash
273,100,82,5/17/2021,Debit Card
274,100,83,5/18/2021,Debit Card
275,100,83,5/18/2021,Cash
276,100,83,5/18/2021,Cash
277,100,84,5/19/2021,Debit Card
278,100,84,5/19/2021,Cash
279,100,84,5/19/2021,Cash
280,100,85,5/19/2021,Debit Card
281,100,85,5/19/2021,Debit Card
282,100,85,5/19/2021,Debit Card
283,100,85,5/19/2021,Debit Card
284,100,86,5/21/2021,Cash
