visit_id,customer_id,lead_id,branch_id,visit_date,entring_time,leaving_time,purchased
1,8,,100,2/15/2021,11:45,12:05,FALSE
2,8,,100,2/15/2021,12:45,12:55,FALSE
3,6,,100,2/15/2021,13:15,13:59,FALSE
4,2,,100,2/15/2021,15:00,15:38,FALSE
5,1,,100,2/16/2021,8:15,8:30,TRUE
6,8,,100,2/16/2021,8:30,9:19,FALSE
7,2,,100,2/16/2021,10:25,10:59,TRUE
8,2,,100,2/16/2021,12:09,12:50,TRUE
9,3,,100,2/16/2021,12:54,13:13,TRUE
10,3,,100,2/16/2021,13:38,14:22,TRUE
11,1,,100,2/16/2021,15:30,16:02,TRUE
12,2,,100,2/16/2021,15:44,16:11,TRUE
13,4,,100,2/16/2021,18:00,18:39,FALSE
14,3,,100,2/16/2021,19:36,19:53,TRUE
15,1,,100,2/16/2021,20:57,21:17,TRUE
16,5,,100,2/17/2021,9:14,9:53,TRUE
17,4,,100,2/17/2021,9:29,10:11,TRUE
18,6,,100,2/17/2021,11:05,11:48,TRUE
19,4,,100,2/17/2021,16:01,16:32,TRUE
20,5,,100,2/17/2021,17:33,17:57,TRUE
21,4,,100,2/17/2021,18:53,19:27,TRUE
22,6,,100,2/17/2021,19:24,20:06,TRUE
23,5,,100,2/17/2021,21:38,22:11,TRUE
24,6,,100,2/17/2021,21:40,22:11,TRUE
25,4,,100,2/17/2021,21:57,22:45,TRUE
26,,1,100,2/18/2021,8:25,8:41,FALSE
27,7,,100,2/18/2021,9:26,9:55,TRUE
28,7,,100,2/18/2021,11:15,12:05,TRUE
29,7,,100,2/18/2021,12:39,13:10,TRUE
30,7,,100,2/18/2021,16:16,17:02,TRUE
31,11,,100,2/19/2021,13:00,13:14,FALSE
32,12,,100,2/19/2021,18:15,18:31,FALSE
33,8,,100,2/20/2021,8:32,9:02,TRUE
34,8,,100,2/20/2021,9:32,9:59,TRUE
35,8,,100,2/20/2021,21:18,21:40,TRUE
36,,2,100,2/21/2021,13:40,13:49,FALSE
37,10,,100,2/21/2021,14:30,14:57,FALSE
38,9,,100,2/21/2021,17:15,18:09,FALSE
39,10,,100,2/22/2021,8:41,9:07,TRUE
40,9,,100,2/22/2021,9:30,9:57,TRUE
41,10,,100,2/22/2021,12:09,12:35,TRUE
42,10,,100,2/22/2021,12:10,12:38,TRUE
43,9,,100,2/22/2021,14:33,14:53,TRUE
44,10,,100,2/22/2021,15:05,15:39,TRUE
45,9,,100,2/22/2021,15:13,15:42,TRUE
